iter,acc,nmi,ari,L,Lc,Lr
0,0.69117,0.71259,0.69106,0,0,0
16,0.70733,0.72319,0.70229,0.35772,0.13525,0.22247
32,0.69258,0.72576,0.70056,0.40165,0.17132,0.23033
48,0.72044,0.72794,0.70734,0.39391,0.1675,0.22642
64,0.72185,0.72594,0.69104,0.3793,0.14867,0.23063
80,0.7181,0.72665,0.69263,0.37663,0.14458,0.23205
96,0.71974,0.72277,0.68004,0.36393,0.14264,0.22129
112,0.72255,0.72382,0.68068,0.37218,0.13946,0.23272
128,0.72887,0.72696,0.68548,0.39584,0.15805,0.23779
144,0.72653,0.72713,0.68139,0.34019,0.10947,0.23073
160,0.73074,0.72989,0.69369,0.36808,0.12665,0.24143
176,0.7277,0.72822,0.68867,0.33753,0.10283,0.2347
192,0.72559,0.72586,0.68482,0.34217,0.10479,0.23738
208,0.72653,0.72512,0.68529,0.36087,0.12603,0.23484
224,0.727,0.72637,0.68903,0.37307,0.12784,0.24522
240,0.72723,0.72577,0.68729,0.33595,0.09698,0.23897
256,0.7277,0.72514,0.68465,0.38424,0.14638,0.23786
272,0.72559,0.72401,0.6837,0.33013,0.09084,0.23929
288,0.72629,0.7229,0.68289,0.3431,0.10525,0.23784
304,0.72536,0.72402,0.68818,0.36723,0.1157,0.25154
320,0.72489,0.72494,0.68566,0.33324,0.08668,0.24656
336,0.72536,0.72567,0.68679,0.35349,0.11078,0.24271
352,0.72489,0.72583,0.68716,0.34158,0.09913,0.24246
368,0.72419,0.72548,0.68493,0.3185,0.0769,0.2416
384,0.72465,0.7252,0.6854,0.31957,0.08491,0.23465
400,0.72489,0.72656,0.68598,0.33041,0.08283,0.24759
416,0.72465,0.72563,0.68622,0.31134,0.07828,0.23306
432,0.72512,0.72777,0.68749,0.32835,0.08236,0.24599
448,0.72419,0.72673,0.68737,0.30095,0.06227,0.23868
464,0.72419,0.72652,0.68739,0.30189,0.06329,0.23861
